player_id,team,total_distance_covered (m),avg_speed_km_per_hr,ball_touches
1,1,33487.02,3.74,2
2,1,38601.14,3.75,11
3,2,34819.81,3.4,2
4,2,29501.63,3.07,0
5,1,28776.0,3.09,8
6,1,40048.34,3.7,11
7,2,18582.1,2.63,0
8,2,32214.12,3.66,53
9,2,32712.06,3.97,13
10,2,24623.33,3.22,42
11,2,39452.89,3.73,41
12,1,28818.55,3.02,0
13,1,27069.59,3.2,0
14,1,25819.13,3.26,0
15,2,16402.21,2.16,0
16,1,0.0,0.0,0
17,2,26218.51,3.32,0
18,2,26989.11,3.26,0
19,1,21912.43,5.16,73
20,1,758.15,3.78,0
21,1,11585.41,2.23,0
22,1,0.0,0.0,0
23,2,0.0,0.0,0
24,1,0.0,0.0,0
25,1,6804.24,3.75,7
26,1,0.0,0.0,0
27,1,0.0,0.0,0
28,1,0.0,0.0,0
29,1,17137.71,5.39,0
30,1,1131.64,2.41,0
31,1,0.0,0.0,0
32,1,0.0,0.0,0
33,1,0.0,0.0,0
34,1,0.0,0.0,0
35,1,0.0,0.0,0
36,1,0.0,0.0,0
37,1,0.5,0.26,0
38,2,0.0,0.0,0
39,2,0.0,0.0,0
40,1,318.44,14.25,0
41,1,103.31,8.67,1
42,1,0.0,0.0,0
